workerid,gender,lexeme,subject_information.age,neutral_binary,gender_total,party_numeric,party_cat,freq_neutral,freq_male,freq_female,log_rel_freq
962,male,police officer,21,0,58.15,4,Democrat,540418,106944,7577,1.551584701900588
962,female,anchor,21,1,58.15,4,Democrat,26764,5817,517,1.4411257528041224
962,male,crewmember,21,0,58.15,4,Democrat,2262,3593,5,-0.46412875783441265
962,male,camera operator,21,0,58.15,4,Democrat,4258,23906,478,-1.745127613032948
962,female,firefighter,21,0,58.15,4,Democrat,100643,15598,75,1.8596401150568989
962,male,craftsperson,21,0,58.15,4,Democrat,961,16604,355,-2.870579536373108
962,male,congressperson,21,0,58.15,4,Democrat,1150,134553,48088,-5.067760535083254
962,female,salesperson,21,0,58.15,4,Democrat,14830,45858,2553,-1.1830749044774842
962,male,meteorologist,21,1,58.15,4,Democrat,86259,9614,67,2.187189196555766
962,female,foreperson,21,0,58.15,4,Democrat,1768,38553,775,-3.1020877691681727
962,male,stunt double,21,0,58.15,4,Democrat,4895,7809,1214,-0.6115625970298899
962,male,businessperson,21,0,58.15,4,Democrat,6653,326423,42745,-4.016183944223057
962,female,flight attendant,21,1,58.15,4,Democrat,42113,47553,4895,-0.21946572093989578
920,female,firefighter,18,1,29.575000000000003,4,Democrat,100643,15598,75,1.8596401150568989
920,male,businessperson,18,0,29.575000000000003,4,Democrat,6653,326423,42745,-4.016183944223057
920,male,craftsperson,18,0,29.575000000000003,4,Democrat,961,16604,355,-2.870579536373108
920,female,camera operator,18,0,29.575000000000003,4,Democrat,4258,23906,478,-1.745127613032948
920,female,foreperson,18,0,29.575000000000003,4,Democrat,1768,38553,775,-3.1020877691681727
920,male,stunt double,18,0,29.575000000000003,4,Democrat,4895,7809,1214,-0.6115625970298899
920,male,layperson,18,0,29.575000000000003,4,Democrat,3829,15822,219,-1.4325442721395467
920,female,flight attendant,18,0,29.575000000000003,4,Democrat,42113,47553,4895,-0.21946572093989578
920,male,anchor,18,1,29.575000000000003,4,Democrat,26764,5817,517,1.4411257528041224
920,female,meteorologist,18,1,29.575000000000003,4,Democrat,86259,9614,67,2.187189196555766
920,female,salesperson,18,1,29.575000000000003,4,Democrat,14830,45858,2553,-1.1830749044774842
920,male,crewmember,18,1,29.575000000000003,4,Democrat,2262,3593,5,-0.46412875783441265
920,male,police officer,18,1,29.575000000000003,4,Democrat,540418,106944,7577,1.551584701900588
920,female,congressperson,18,0,29.575000000000003,4,Democrat,1150,134553,48088,-5.067760535083254
913,female,camera operator,26,0,12.0625,5,Democrat,4258,23906,478,-1.745127613032948
913,male,craftsperson,26,0,12.0625,5,Democrat,961,16604,355,-2.870579536373108
913,male,anchor,26,1,12.0625,5,Democrat,26764,5817,517,1.4411257528041224
913,female,flight attendant,26,1,12.0625,5,Democrat,42113,47553,4895,-0.21946572093989578
913,female,congressperson,26,0,12.0625,5,Democrat,1150,134553,48088,-5.067760535083254
913,male,stunt double,26,0,12.0625,5,Democrat,4895,7809,1214,-0.6115625970298899
913,male,businessperson,26,0,12.0625,5,Democrat,6653,326423,42745,-4.016183944223057
913,female,police officer,26,0,12.0625,5,Democrat,540418,106944,7577,1.551584701900588
913,female,salesperson,26,0,12.0625,5,Democrat,14830,45858,2553,-1.1830749044774842
913,male,foreperson,26,0,12.0625,5,Democrat,1768,38553,775,-3.1020877691681727
913,female,crewmember,26,1,12.0625,5,Democrat,2262,3593,5,-0.46412875783441265
913,male,firefighter,26,1,12.0625,5,Democrat,100643,15598,75,1.8596401150568989
913,female,meteorologist,26,1,12.0625,5,Democrat,86259,9614,67,2.187189196555766
913,male,layperson,26,1,12.0625,5,Democrat,3829,15822,219,-1.4325442721395467
919,male,congressperson,28,0,23.375,5,Democrat,1150,134553,48088,-5.067760535083254
919,male,craftsperson,28,0,23.375,5,Democrat,961,16604,355,-2.870579536373108
919,male,camera operator,28,0,23.375,5,Democrat,4258,23906,478,-1.745127613032948
919,male,stunt double,28,0,23.375,5,Democrat,4895,7809,1214,-0.6115625970298899
919,female,flight attendant,28,1,23.375,5,Democrat,42113,47553,4895,-0.21946572093989578
919,male,police officer,28,1,23.375,5,Democrat,540418,106944,7577,1.551584701900588
919,male,crewmember,28,0,23.375,5,Democrat,2262,3593,5,-0.46412875783441265
919,male,foreperson,28,0,23.375,5,Democrat,1768,38553,775,-3.1020877691681727
919,female,layperson,28,0,23.375,5,Democrat,3829,15822,219,-1.4325442721395467
919,female,anchor,28,0,23.375,5,Democrat,26764,5817,517,1.4411257528041224
919,male,salesperson,28,0,23.375,5,Democrat,14830,45858,2553,-1.1830749044774842
919,female,firefighter,28,1,23.375,5,Democrat,100643,15598,75,1.8596401150568989
919,female,meteorologist,28,1,23.375,5,Democrat,86259,9614,67,2.187189196555766
919,female,businessperson,28,0,23.375,5,Democrat,6653,326423,42745,-4.016183944223057
951,male,foreperson,22,0,27.237499999999997,5,Democrat,1768,38553,775,-3.1020877691681727
951,male,police officer,22,0,27.237499999999997,5,Democrat,540418,106944,7577,1.551584701900588
951,male,firefighter,22,1,27.237499999999997,5,Democrat,100643,15598,75,1.8596401150568989
951,female,crewmember,22,1,27.237499999999997,5,Democrat,2262,3593,5,-0.46412875783441265
951,male,meteorologist,22,1,27.237499999999997,5,Democrat,86259,9614,67,2.187189196555766
951,male,stunt double,22,1,27.237499999999997,5,Democrat,4895,7809,1214,-0.6115625970298899
951,male,salesperson,22,0,27.237499999999997,5,Democrat,14830,45858,2553,-1.1830749044774842
951,female,craftsperson,22,0,27.237499999999997,5,Democrat,961,16604,355,-2.870579536373108
951,female,businessperson,22,0,27.237499999999997,5,Democrat,6653,326423,42745,-4.016183944223057
951,female,anchor,22,0,27.237499999999997,5,Democrat,26764,5817,517,1.4411257528041224
951,male,flight attendant,22,1,27.237499999999997,5,Democrat,42113,47553,4895,-0.21946572093989578
951,female,camera operator,22,1,27.237499999999997,5,Democrat,4258,23906,478,-1.745127613032948
951,female,congressperson,22,0,27.237499999999997,5,Democrat,1150,134553,48088,-5.067760535083254
951,female,layperson,22,0,27.237499999999997,5,Democrat,3829,15822,219,-1.4325442721395467
914,male,craftsperson,19,0,13.725000000000001,5,Democrat,961,16604,355,-2.870579536373108
914,male,camera operator,19,0,13.725000000000001,5,Democrat,4258,23906,478,-1.745127613032948
914,female,police officer,19,1,13.725000000000001,5,Democrat,540418,106944,7577,1.551584701900588
914,male,firefighter,19,1,13.725000000000001,5,Democrat,100643,15598,75,1.8596401150568989
914,female,salesperson,19,1,13.725000000000001,5,Democrat,14830,45858,2553,-1.1830749044774842
